path	head	branch	origin	worktree
src/external/libxpc/test/ctest	cd46041baf3f131fe74032967566c7321adcaa01	DETACHED	git@github.com:IlyaGulya/ctest.git	clean
src/external/libxslt	50d22bd5b761a1885009b690e48d858ff73e768b	DETACHED	git@github.com:IlyaGulya/darling-libxslt.git	clean
src/external/lzfse	451f291743bb919cb1b78ced4110402fca52cf97	DETACHED	git@github.com:IlyaGulya/lzfse.git	clean
src/external/mDNSResponder	7e38ef562b4f3d41bffabb3e30d844d8042d3bbd	DETACHED	git@github.com:IlyaGulya/darling-mDNSResponder.git	clean
src/external/mail_cmds	4afbcf4b9b8a6c33acaf7e9025e51ce72b3725a7	DETACHED	git@github.com:IlyaGulya/darling-mail_cmds.git	clean
src/external/man	9af6690f3c7c3c713bb0a20ba1163d3c4278257d	DETACHED	git@github.com:IlyaGulya/darling-man.git	clean
src/external/metal	ae20248dc144beab899e38752f5a530f28a0ea56	DETACHED	git@github.com:IlyaGulya/darling-metal.git	clean
src/external/metal/deps/indium	8423a7d2f053167030d2bc4a227f96243c740667	DETACHED	git@github.com:IlyaGulya/indium.git	clean
src/external/misc_cmds	85b24ec0e2625d75e7ee75b597b9134a49d18b1f	DETACHED	git@github.com:IlyaGulya/darling-misc_cmds.git	clean
src/external/nano	7514f5f1115fffedd8fc2095107ca86ff82c54d6	DETACHED	git@github.com:IlyaGulya/darling-nano.git	clean
src/external/ncurses	4cc72a9a1bce214593c10811b0154a8d51db0239	DETACHED	git@github.com:IlyaGulya/darling-ncurses.git	clean
src/external/netcat	fd29177d56d84f88406e33784c327ebabfe7be58	DETACHED	git@github.com:IlyaGulya/darling-netcat.git	clean
src/external/network_cmds	9a0a90e2021ecdde91986b91f65a236eda158023	DETACHED	git@github.com:IlyaGulya/darling-network_cmds.git	clean
src/external/nghttp2	1a1853837b4350d4393bd25e1e4cb6018ab2d918	DETACHED	git@github.com:IlyaGulya/darling-nghttp2.git	clean
src/external/nghttp2/third-party/mruby	7c91efc1ffda769a5f1a872c646c82b00698f1b8	DETACHED	git@github.com:IlyaGulya/mruby	clean
src/external/nghttp2/third-party/neverbleed	b967ca054f48a36f82d8fcdd32e54ec5144f2751	DETACHED	git@github.com:IlyaGulya/neverbleed.git	clean
src/external/objc4	1a12df76d12bfc9fdfffadb290f7742763568765	DETACHED	git@github.com:IlyaGulya/darling-objc4.git	clean
src/external/openjdk	5a541c1844a9508e48b3addaf2d38775683abb38	DETACHED	git@github.com:IlyaGulya/openjdk.git	clean
src/external/openpam	8362545bac04032fcf59287cd66e6f4662a3692b	DETACHED	git@github.com:IlyaGulya/darling-openpam.git	clean
src/external/openpam/darling/submodules/pam_modules	241bbee0da845d1dfebc747b16a62aaed22f165b	DETACHED	git@github.com:IlyaGulya/darling-pam_modules.git	clean
src/external/openssh	9137305e5793d31124bcf2fdf0c6fa28c2e3e812	DETACHED	git@github.com:IlyaGulya/darling-openssh.git	clean
src/external/openssl	dc7bf84efa5a0befa0d970d4d5177853ac448d6f	DETACHED	git@github.com:IlyaGulya/darling-openssl.git	clean
src/external/openssl_certificates	cca4f47e3ca18b58961157ef0ec6a6fc135b8cd2	DETACHED	git@github.com:IlyaGulya/darling-openssl_certificates.git	clean
src/external/passwordserver_sasl	794093ece0203718ce5da5645a689b5c6e766208	DETACHED	git@github.com:IlyaGulya/darling-passwordserver_sasl.git	clean
src/external/patch_cmds	0670c7fbadfd715ac78d5476552788416cad0020	DETACHED	git@github.com:IlyaGulya/darling-patch_cmds.git	clean
src/external/pcre	6f67e33869a2b08da9465034c41e64e16fc7faf9	DETACHED	git@github.com:IlyaGulya/darling-pcre.git	clean
src/external/perl	4f96b78dbb8cf545be9ae9439bb6fffe5c6b6392	integration/homebrew	git@github.com:IlyaGulya/darling-perl.git	clean
src/external/pyobjc	c0912a6c46c25e958eeb70f47f046b5a55ebb387	DETACHED	git@github.com:IlyaGulya/darling-pyobjc.git	clean
src/external/python	4856509729cc320006a1235291e47408cd7b13ce	DETACHED	git@github.com:IlyaGulya/darling-python.git	clean
src/external/python_modules	24d01b41cb38fafc810cdd27562224c4014a4761	DETACHED	git@github.com:IlyaGulya/darling-python_modules.git	clean
src/external/remote_cmds	3bb9f88724726d0d3073c04dfdc4785564113341	DETACHED	git@github.com:IlyaGulya/darling-remote_cmds.git	clean
src/external/removefile	3cd493871f27130f9cf64c31daab9cca2ee17726	DETACHED	git@github.com:IlyaGulya/darling-removefile.git	clean
src/external/rsync	316c5b6b2780a28179f692f3fc0d63ebc2985705	DETACHED	git@github.com:IlyaGulya/darling-rsync.git	clean
src/external/ruby	423f2439478d2e24d7c19b2e0ea4a67ee3e80c3d	DETACHED	git@github.com:IlyaGulya/darling-ruby.git	clean
src/external/screen	4bed52587563ede850bf9ff834567478ac1e616b	DETACHED	git@github.com:IlyaGulya/darling-screen.git	clean
src/external/security	3cfffcf2c5b5900169c964facdf42cc05c23005c	DETACHED	git@github.com:IlyaGulya/darling-security.git	clean
src/external/shell_cmds	5191dabbeff0aec230fc1275bae1653281ba52b2	DETACHED	git@github.com:IlyaGulya/darling-shell_cmds.git	clean
src/external/sqlite	3472e2568cb7fcc25fe91af80da8d2fe884d9ac0	DETACHED	git@github.com:IlyaGulya/darling-sqlite.git	clean
src/external/swift	471514f4b4985a604b192e1facac9bbc53dedad3	DETACHED	git@github.com:IlyaGulya/darling-swift.git	clean
src/external/syslog	36ab27964cac4affe3907a598047bd21b8958919	DETACHED	git@github.com:IlyaGulya/darling-syslog.git	clean
src/external/system_cmds	b01129f3dc0ecab524dbd0fd08e29ec9f0e18196	DETACHED	git@github.com:IlyaGulya/darling-system_cmds.git	clean
src/external/tcsh	7737644ec31303be19c533aab093209f3458e060	DETACHED	git@github.com:IlyaGulya/darling-tcsh.git	clean
src/external/text_cmds	3edd740c82b8b87c17ec9cfaae7606f6176626df	DETACHED	git@github.com:IlyaGulya/darling-text_cmds.git	clean
src/external/top	4e27f81b5cfeef9d31d8fe5d938a80d26cca9ab5	DETACHED	git@github.com:IlyaGulya/darling-top.git	clean
src/external/usertemplate	5f8cca97aa03ff9290d6ccc0a4d185aa1a913875	DETACHED	git@github.com:IlyaGulya/darling-usertemplate.git	clean
src/external/vim	7f8da1dd66fc8f0654ebfa597b6013c8cf15185a	DETACHED	git@github.com:IlyaGulya/darling-vim.git	clean
src/external/xar	887bd4f42eb4ac9139a7f621b5811065aa86f3e3	DETACHED	git@github.com:IlyaGulya/darling-xar.git	clean
src/external/xcbuild	a903c6952fc5617816113cbb7b551ac701dba2ff	DETACHED	git@github.com:IlyaGulya/xcbuild.git	clean
src/external/xcbuild/ThirdParty/googletest	a2b8a8e07628e5fd60644b6dd99c1b5e7d7f1f47	DETACHED	git@github.com:IlyaGulya/googletest.git	clean
src/external/xcbuild/ThirdParty/linenoise	c894b9e59f02203dbe4e2be657572cf88c4230c3	DETACHED	git@github.com:IlyaGulya/linenoise.git	clean
src/external/xnu	41040ddd9f2a6353137a1f0a960d938f9d640d90	integration/arch	git@github.com:IlyaGulya/darling-xnu.git	clean
src/external/zip	caf41ebbc3ebab0250e4d13aa42221ef91a9802c	DETACHED	git@github.com:IlyaGulya/darling-zip.git	clean
src/external/zlib	677de9b1c2bea1e428f56d8fc63300aa471eaf99	DETACHED	git@github.com:IlyaGulya/darling-zlib.git	clean
src/external/zsh	4a7a6ebf6216395c7db698a4993db16e484aa54d	DETACHED	git@github.com:IlyaGulya/darling-zsh.git	clean
